text,x0,x1,top,bottom,upright,direction,page_number,Class,Providercode
Comp Nro:,461.0,509.996,86.103,95.103,True,1,1,1,1
3,417.0,444.8,86.11,96.11,True,1,1,1,1
1695,517.0,561.48,86.11,96.11,True,1,1,1,1
27/08/2020,428.0,478.04,101.61,111.61,True,1,1,2,1
Fecha de Emisión:,341.0,420.524,102.273,111.273,True,1,1,2,1
xxxxxxxxx,21.0,80.013,103.45299999999999,112.45299999999999,True,1,1,3,1
xxxxxxxxx,84.0,194.03400000000002,103.45299999999999,112.45299999999999,True,1,1,3,1
xxxxxxxxx,341.0,364.994,125.273,134.273,True,1,1,3,1
xxxxxxxxx,373.0,428.04400000000004,125.273,134.273,True,1,1,3,1
xxxxxxxxx,21.0,110.523,127.45299999999999,136.453,True,1,1,3,1
xxxxxxxxx,116.0,282.59,127.45299999999999,136.453,True,1,1,3,1
xxxxxxxxx,341.0,413.009,137.273,146.273,True,1,1,3,1
xxxxxxxxx,419.0,456.00800000000004,137.273,146.273,True,1,1,3,1
xxxxxxxxx,116.0,169.523,137.803,146.803,True,1,1,3,1
xxxxxxxxx,341.0,475.046,149.273,158.273,True,1,1,3,1
xxxxxxxxx,482.0,527.036,149.273,158.273,True,1,1,3,1
xxxxxxxxx,21.0,123.015,152.273,161.273,True,1,1,3,1
xxxxxxxxx,131.0,245.03,152.273,161.273,True,1,1,3,1
xxxxxxxxx,21.0,145.47,171.36,181.36,True,1,1,3,1
xxxxxxxxx,159.0,209.04,171.36,181.36,True,1,1,3,1
xxxxxxxxx,232.44,315.04,171.36,181.36,True,1,1,3,1
xxxxxxxxx,362.96,545.04,171.36,181.36,True,1,1,3,1
xxxxxxxxx,21.0,42.328,191.28599999999997,199.28599999999997,True,1,1,4,1
xxxxxxxxx,52.0,100.928,191.28599999999997,199.28599999999997,True,1,1,4,1
xxxxxxxxx,222.19,490.032,191.28599999999997,199.28599999999997,True,1,1,4,1
xxxxxxxxx,21.0,111.68,208.28599999999997,216.28599999999997,True,1,1,4,1
xxxxxxxxx,131.0,225.264,208.28599999999997,216.28599999999997,True,1,1,4,1
xxxxxxxxx,272.42,574.0880000000002,208.28599999999997,225.486,True,1,1,4,1
xxxxxxxxx,21.0,97.456,225.28599999999997,233.28599999999997,True,1,1,4,1
xxxxxxxxx,113.0,173.912,225.28599999999997,233.28599999999997,True,1,1,4,1
Importe Total: $,427.99,503.0,658.36,668.36,True,1,1,7,1
12850,533.3,575.0,658.36,668.36,True,1,1,7,1
CAE N°:,442.56,481.0,690.61,700.61,True,1,1,5,1
70353634700450,486.0,563.84,690.61,700.61,True,1,1,5,1
Fecha de Vto de CAE:,374.31,481.0,704.61,714.61,True,1,1,6,1
06/09/2020,486.0,536.04,704.61,714.61,True,1,1,6,1
Comp Nro:,461.0,509.996,86.103,95.103,True,1,1,1,1
3,417.0,444.8,86.11,96.11,True,1,1,1,1
1696,517.0,561.48,86.11,96.11,True,1,1,1,1
28/08/2020,428.0,478.04,101.61,111.61,True,1,1,2,1
Fecha de Emisión:,341.0,420.524,102.273,111.273,True,1,1,2,1
xxxxxxxxx,21.0,80.013,103.45299999999999,112.45299999999999,True,1,1,3,1
xxxxxxxxx,84.0,194.03400000000002,103.45299999999999,112.45299999999999,True,1,1,3,1
xxxxxxxxx,341.0,364.994,125.273,134.273,True,1,1,3,1
xxxxxxxxx,373.0,428.04400000000004,125.273,134.273,True,1,1,3,1
xxxxxxxxx,21.0,110.523,127.45299999999999,136.453,True,1,1,3,1
xxxxxxxxx,116.0,282.59,127.45299999999999,136.453,True,1,1,3,1
xxxxxxxxx,341.0,413.009,137.273,146.273,True,1,1,3,1
xxxxxxxxx,419.0,456.00800000000004,137.273,146.273,True,1,1,3,1
xxxxxxxxx,116.0,169.523,137.803,146.803,True,1,1,3,1
xxxxxxxxx,341.0,475.046,149.273,158.273,True,1,1,3,1
xxxxxxxxx,482.0,527.036,149.273,158.273,True,1,1,3,1
xxxxxxxxx,21.0,123.015,152.273,161.273,True,1,1,3,1
xxxxxxxxx,131.0,245.03,152.273,161.273,True,1,1,3,1
xxxxxxxxx,21.0,145.47,171.36,181.36,True,1,1,3,1
xxxxxxxxx,159.0,209.04,171.36,181.36,True,1,1,3,1
xxxxxxxxx,232.44,315.04,171.36,181.36,True,1,1,3,1
xxxxxxxxx,362.96,545.04,171.36,181.36,True,1,1,3,1
xxxxxxxxx,21.0,42.328,191.28599999999997,199.28599999999997,True,1,1,4,1
xxxxxxxxx,52.0,100.928,191.28599999999997,199.28599999999997,True,1,1,4,1
xxxxxxxxx,222.19,490.032,191.28599999999997,199.28599999999997,True,1,1,4,1
xxxxxxxxx,21.0,111.68,208.28599999999997,216.28599999999997,True,1,1,4,1
xxxxxxxxx,131.0,225.264,208.28599999999997,216.28599999999997,True,1,1,4,1
xxxxxxxxx,272.42,574.0880000000002,208.28599999999997,225.486,True,1,1,4,1
xxxxxxxxx,21.0,97.456,225.28599999999997,233.28599999999997,True,1,1,4,1
xxxxxxxxx,113.0,173.912,225.28599999999997,233.28599999999997,True,1,1,4,1
Importe Total: $,427.99,503.0,658.36,668.36,True,1,1,7,1
2570,538.86,575.0,658.36,668.36,True,1,1,7,1
CAE N°:,442.56,481.0,690.61,700.61,True,1,1,5,1
70353661520360,486.0,563.84,690.61,700.61,True,1,1,5,1
Fecha de Vto de CAE:,374.31,481.0,704.61,714.61,True,1,1,6,1
07/09/2020,486.0,536.04,704.61,714.61,True,1,1,6,1
Comp Nro:,461.0,509.996,86.103,95.103,True,1,1,1,2
2,417.0,444.8,86.11,96.11,True,1,1,1,2
192,517.0,561.48,86.11,96.11,True,1,1,1,2
05/07/2020,428.0,478.04,101.61,111.61,True,1,1,2,2
Fecha de Emisión:,341.0,420.524,102.273,111.273,True,1,1,2,2
xxxxxxxxx,21.0,80.013,103.45299999999999,112.45299999999999,True,1,1,3,2
xxxxxxxxx,84.0,187.52700000000002,103.45299999999999,112.45299999999999,True,1,1,3,2
xxxxxxxxx,341.0,364.994,125.273,134.273,True,1,1,3,2
xxxxxxxxx,373.0,428.04400000000004,125.273,134.273,True,1,1,3,2
xxxxxxxxx,21.0,110.523,127.45299999999999,136.453,True,1,1,3,2
xxxxxxxxx,116.0,272.069,127.45299999999999,136.453,True,1,1,3,2
xxxxxxxxx,341.0,413.009,137.273,146.273,True,1,1,3,2
xxxxxxxxx,419.0,456.00800000000004,137.273,146.273,True,1,1,3,2
xxxxxxxxx,116.0,169.523,137.803,146.803,True,1,1,3,2
xxxxxxxxx,341.0,475.046,149.273,158.273,True,1,1,3,2
xxxxxxxxx,482.0,527.036,149.273,158.273,True,1,1,3,2
xxxxxxxxx,21.0,123.015,152.273,161.273,True,1,1,3,2
xxxxxxxxx,131.0,245.03,152.273,161.273,True,1,1,3,2
xxxxxxxxx,21.0,145.47,171.36,181.36,True,1,1,3,2
xxxxxxxxx,159.0,209.04,171.36,181.36,True,1,1,3,2
xxxxxxxxx,232.44,315.04,171.36,181.36,True,1,1,3,2
xxxxxxxxx,362.96,545.04,171.36,181.36,True,1,1,3,2
xxxxxxxxx,21.0,42.328,191.28599999999997,199.28599999999997,True,1,1,4,2
xxxxxxxxx,52.0,100.928,191.28599999999997,199.28599999999997,True,1,1,4,2
xxxxxxxxx,222.19,490.032,191.28599999999997,199.28599999999997,True,1,1,4,2
xxxxxxxxx,21.0,111.68,208.28599999999997,216.28599999999997,True,1,1,4,2
xxxxxxxxx,131.0,225.264,208.28599999999997,216.28599999999997,True,1,1,4,2
xxxxxxxxx,272.42,574.0880000000002,208.28599999999997,225.486,True,1,1,4,2
xxxxxxxxx,21.0,97.456,225.28599999999997,233.28599999999997,True,1,1,4,2
xxxxxxxxx,113.0,143.24,225.28599999999997,233.28599999999997,True,1,1,4,2
CAE N°:,442.56,481.0,690.61,700.61,True,1,1,5,2
70273726207630,486.0,563.84,690.61,700.61,True,1,1,5,2
Fecha de Vto de CAE:,374.31,481.0,704.61,714.61,True,1,1,6,2
15/07/2020,486.0,536.04,704.61,714.61,True,1,1,6,2
Comp Nro:,461.0,509.996,86.103,95.103,True,1,1,1,2
2,417.0,444.8,86.11,96.11,True,1,1,1,2
193,517.0,561.48,86.11,96.11,True,1,1,1,2
11/07/2020,428.0,478.04,101.61,111.61,True,1,1,2,2
Fecha de Emisión:,341.0,420.524,102.273,111.273,True,1,1,2,2
xxxxxxxxx,21.0,80.013,103.45299999999999,112.45299999999999,True,1,1,3,2
xxxxxxxxx,84.0,187.52700000000002,103.45299999999999,112.45299999999999,True,1,1,3,2
xxxxxxxxx,341.0,364.994,125.273,134.273,True,1,1,3,2
xxxxxxxxx,373.0,428.04400000000004,125.273,134.273,True,1,1,3,2
xxxxxxxxx,21.0,110.523,127.45299999999999,136.453,True,1,1,3,2
xxxxxxxxx,116.0,272.069,127.45299999999999,136.453,True,1,1,3,2
xxxxxxxxx,341.0,413.009,137.273,146.273,True,1,1,3,2
xxxxxxxxx,419.0,456.00800000000004,137.273,146.273,True,1,1,3,2
xxxxxxxxx,116.0,169.523,137.803,146.803,True,1,1,3,2
xxxxxxxxx,341.0,475.046,149.273,158.273,True,1,1,3,2
xxxxxxxxx,482.0,527.036,149.273,158.273,True,1,1,3,2
xxxxxxxxx,21.0,123.015,152.273,161.273,True,1,1,3,2
xxxxxxxxx,131.0,245.03,152.273,161.273,True,1,1,3,2
xxxxxxxxx,21.0,145.47,171.36,181.36,True,1,1,3,2
xxxxxxxxx,159.0,209.04,171.36,181.36,True,1,1,3,2
xxxxxxxxx,232.44,315.04,171.36,181.36,True,1,1,3,2
xxxxxxxxx,362.96,545.04,171.36,181.36,True,1,1,3,2
xxxxxxxxx,21.0,42.328,191.28599999999997,199.28599999999997,True,1,1,4,2
xxxxxxxxx,52.0,100.928,191.28599999999997,199.28599999999997,True,1,1,4,2
